Регион таргетинга;Показы;Клики;Расход (руб.);Конверсия (%);Цена цели (руб.);Конверсии
Иваново;4228;79;1554,18;-;-;-
Ивановская область (более точно регион не определён);1883;38;1035,2;2,63;1035,2;1
Ивантеевка;631;10;220,72;-;-;-
Ижевск;8242;183;4423,28;2,19;1105,82;4
Избербаш;323;12;278,33;8,33;278,33;1
Илийский район;7192;37;378,8;2,7;378,8;1
Инта;181;1;71,9;-;-;-
Иркутск;9866;161;3924,47;1,24;1962,23;2
Иркутская область (более точно регион не определён);4304;72;1151,92;-;-;-
Искитим;254;4;40,82;-;-;-
Истра;444;8;138,45;-;-;-
Ишим;204;4;89,29;-;-;-
Ишимбай;223;3;75,54;33,33;75,54;1
Ишимбайский район (более точно регион не определён);42;2;17,04;-;-;-
Йошкар-Ола;3180;66;1397,83;1,52;1397,83;1
Кабардино-Балкарская Республика (более точно регион не определён);1326;26;511,29;7,69;255,64;2
Кавказский район (более точно регион не определён);93;1;1,96;-;-;-
Казань;10445;240;6760,53;0,83;3380,26;2
Казахстан (более точно регион не определён);70388;415;3873,58;0,24;3873,58;1
Казыгуртский район;483;5;99,56;-;-;-
Калининград;8808;131;2626,8;3,82;525,36;5
Калининградская область (более точно регион не определён);3633;67;1896,07;4,48;632,02;3
Калуга;4585;88;1611,25;1,14;1611,25;1
Калужская область (более точно регион не определён);3236;60;1666,32;3,33;833,16;2
Каменск-Уральский;1371;23;456,21;-;-;-
Каменск-Шахтинский;481;10;119,59;10;119,59;1
Камчатский край (более точно регион не определён);872;22;445,03;-;-;-
Камышин;753;11;186,04;-;-;-
Кандалакша;253;4;16,41;-;-;-
Кандалакшский район (более точно регион не определён);60;1;20,45;-;-;-
Караганда;63042;312;3223,42;2,56;402,93;8
Караганда и область (более точно регион не определён);22357;92;699,86;-;-;-
Карасайский район;8874;41;536,62;-;-;-
Карасук;108;7;14,43;-;-;-
Карачаево-Черкесская Республика (более точно регион не определён);826;18;455,9;-;-;-
Каргасок;70;1;8,15;-;-;-
Карши;12;0;0;-;-;-
Касимов;338;10;240,69;-;-;-
Каспийск;433;6;118,37;-;-;-
Качканар;207;3;112,66;-;-;-
Кашира;307;8;126,86;-;-;-
Кашкадарьинская область (более точно регион не определён);9;3;137,57;-;-;-
Кемерово;5116;103;2337,26;0,97;2337,26;1
Кемеровская область (Кузбасс) (более точно регион не определён);2735;71;1416,33;-;-;-
Керчь;1349;12;137,72;-;-;-
Кизляр;440;6;140,74;-;-;-
Кимры;357;4;127,95;-;-;-
Кингисепп;294;5;54,55;-;-;-
Кингисеппский район (более точно регион не определён);98;3;33,02;-;-;-
Кинешма;452;7;36,24;-;-;-
Киржач;146;2;19,83;-;-;-
Киржачский район (более точно регион не определён);156;3;53,12;-;-;-
Кириши;357;11;174,12;18,18;87,06;2
Киришский район (более точно регион не определён);49;2;8,2;-;-;-
Киров;6424;154;3854,49;1,3;1927,24;2
Кировская область (более точно регион не определён);2181;50;719,75;-;-;-
Кирово-Чепецк;704;12;163,55;-;-;-
Кировск;209;1;4,93;-;-;-
Кировский район (более точно регион не определён);538;13;123,02;-;-;-
Киселёвск;416;4;42,42;-;-;-
Кисловодск;2411;68;1926,11;2,94;963,05;2
Клин;388;9;195,47;-;-;-
Клинцы;329;3;57,68;-;-;-
Ковров;1112;25;486,85;-;-;-
Когалым;469;8;265,83;-;-;-
Кокшетау;15560;58;505,58;-;-;-
Коломна;1371;30;497,56;-;-;-
Колпашево;112;2;19,83;-;-;-
Колпино;423;8;125,7;-;-;-
Колпинский район (более точно регион не определён);181;1;44,65;100;44,65;1
Комсомольск-на-Амуре;1157;18;385,77;-;-;-
Конаково;322;8;87,52;-;-;-
Конаковский район (более точно регион не определён);445;11;232,81;9,09;232,81;1
Кондопога;292;4;101,13;-;-;-
Кондопожский район (более точно регион не определён);70;5;211,54;-;-;-
Копейск;870;19;310,07;-;-;-
Кордайский район;1700;12;103,22;-;-;-
Королёв;2387;50;888,3;-;-;-
Костанай;33538;133;1063,76;-;-;-
Костанай и область (более точно регион не определён);20939;60;677,81;-;-;-
Костомукша;214;6;77,88;-;-;-
Кострома;4299;108;2150,72;0,93;2150,72;1
Костромская область (более точно регион не определён);1864;23;233,99;8,7;116,99;2
Котлас;796;17;294,2;5,88;294,2;1
Красноармейск;179;3;56,42;-;-;-
Красногорск;2877;85;2286,29;-;-;-
Краснодар;15277;329;8314,21;0,61;4157,11;2
Краснодарский край (более точно регион не определён);12860;251;3974,3;-;-;-
Краснознаменск;521;10;275,21;-;-;-
Красноперекопск;164;6;105,89;16,67;105,89;1
Краснотурьинск;398;7;158,18;-;-;-
Красноуфимск;299;9;145,89;-;-;-
Красноярск;11677;248;6236,77;2,02;1247,35;5
Красноярский край (более точно регион не определён);5860;86;1621,26;2,33;810,63;2
Кропоткин;354;8;162,66;-;-;-
Крымск;361;4;25,51;-;-;-
Крымский район (более точно регион не определён);304;5;77,81;-;-;-
Кстово;587;11;140,35;-;-;-
Кстовский район (более точно регион не определён);779;9;284,06;-;-;-
Кубинка;133;1;27,67;-;-;-
Кузнецк;435;6;94,69;-;-;-
Кумертау;350;8;93,38;-;-;-
Курган;3795;54;1388,92;1,85;1388,92;1
Курганская область (более точно регион не определён);1058;28;265,07;-;-;-
Курск;5474;140;3253,48;-;-;-
Курская область (более точно регион не определён);1502;26;358,57;-;-;-
Курчатов;389;11;227,65;-;-;-
Кушва;155;0;0;-;-;-
Кызыл;963;23;1092,84;4,35;1092,84;1
Кызылорда;17720;78;679,29;1,28;679,29;1
Кызылорда и область (более точно регион не определён);4542;11;41,82;-;-;-
Лангепас;203;4;109,04;-;-;-
Ленинск-Кузнецкий;503;9;164,1;-;-;-
Ленинский район (более точно регион не определён);1587;33;1033,8;-;-;-
Ленинский район (более точно регион не определён);363;3;15,69;-;-;-
Лесной;556;9;172,01;-;-;-
Липецк;6024;112;2626,3;-;-;-
Липецкая область (более точно регион не определён);2287;50;1085,74;2;1085,74;1
Лобня;1263;14;121,92;-;-;-
Лосино-Петровский;151;3;10,1;-;-;-
Луга;150;0;0;-;-;-
Лужский район (более точно регион не определён);152;3;68,9;-;-;-
Луховицы;215;3;94,24;-;-;-
Лысьва;335;9;136,51;-;-;-
Лыткарино;469;13;197,03;-;-;-
Люберцы;2105;51;829,86;-;-;-
Магадан;828;19;812,69;-;-;-
Магаданская область (более точно регион не определён);242;0;0;-;-;-
Магас;217;6;122,95;-;-;-
Магнитогорск;3115;72;1798,79;-;-;-
Майкоп;1282;28;523,62;3,57;523,62;1
Мактааральский район;653;4;100,79;-;-;-
Малоярославец;282;4;69,02;-;-;-
Малоярославецкий район (более точно регион не определён);405;5;44,7;-;-;-
Маркс;331;4;57,24;-;-;-
Махачкала;4889;78;2457,07;-;-;-
Мегион;266;13;373,16;-;-;-
Междуреченск;631;9;183,2;-;-;-
Мелеуз;395;8;165,82;-;-;-
Мелеузовский район (более точно регион не определён);166;4;44,29;-;-;-
Миасс;1673;22;418,83;-;-;-
Минеральные Воды;799;17;385,72;-;-;-
Минусинск;543;6;97,91;-;-;-
Михайловка;638;16;206,37;-;-;-
Мичуринск;546;7;66,45;-;-;-
Можайск;252;5;82,03;-;-;-
Мончегорск;405;2;46,21;-;-;-
Москва (более точно регион не определён);132891;3519;88399,22;0,91;2762,48;32
Москва и область (более точно регион не определён);6986;183;3953,76;1,09;1976,88;2
Мунайлинский район;4574;20;125,3;-;-;-
Мурманск;3961;83;1297,6;-;-;-
Мурманская область (более точно регион не определён);2256;44;1027,44;-;-;-
Муром;964;11;171,7;-;-;-
Мыски;330;12;323,31;-;-;-
Мытищи;3023;65;1361,43;3,08;680,72;2
Мышкин;15;1;5,49;-;-;-
Набережные Челны;3185;69;1074,29;-;-;-
Надым;274;11;226,57;-;-;-
Надымский район (более точно регион не определён);53;2;69;-;-;-
Назрань;447;8;185,37;-;-;-
Нальчик;2898;45;916,02;2,22;916,02;1
Наманган;24;0;0;-;-;-
Наманганская область (более точно регион не определён);22;0;0;-;-;-
Наро-Фоминск;348;10;128,94;-;-;-
Наро-Фоминский городской округ (более точно регион не определён);720;23;438,84;-;-;-
Нахабино;544;14;218,99;-;-;-
Находка;1160;15;387,38;26,67;96,85;4
Невельск;447;8;81,22;-;-;-
Невинномысск;1011;14;257,81;-;-;-
Невьянск;118;3;41,88;-;-;-
Нерюнгри;585;13;208,62;15,38;104,31;2
Нерюнгринский район (более точно регион не определён);81;2;80,49;-;-;-
Нефтекамск;845;32;810,33;3,12;810,33;1
Нефтеюганск;1151;34;552,22;-;-;-
Нижневартовск;1795;46;1293,88;-;-;-
Нижнекамск;1106;26;424,11;-;-;-
Нижнеудинск;110;2;11,81;-;-;-
Нижнеудинский район (более точно регион не определён);42;1;3,94;-;-;-
Нижний Новгород;17202;420;10977,01;0,95;2744,25;4
Нижегородская область (более точно регион не определён);6024;105;1996,17;-;-;-
Нижний Тагил;2538;51;862,29;-;-;-
Нижняя Тура;171;2;13,74;-;-;-
Новоалтайск;251;6;60,02;-;-;-
Новодвинск;291;8;233,14;-;-;-
Новокузнецк;4413;78;1707,71;1,28;1707,71;1
Новокуйбышевск;914;18;265,96;-;-;-
Новомосковск;1180;24;529,16;-;-;-
Новороссийск;3078;50;915,7;-;-;-
Новосибирск;21259;355;7954,89;0,85;2651,63;3
Новосибирская область (более точно регион не определён);4760;94;1739,28;-;-;-
Новотроицк;757;13;138,47;-;-;-
Новоульяновск;54;1;6,24;-;-;-
Новоуральск;963;38;828;-;-;-
Новочебоксарск;916;23;480,58;4,35;480,58;1
Новочеркасск;1334;23;367,98;-;-;-
Новошахтинск;359;8;234,15;-;-;-
Новый Уренгой;1013;24;400,25;-;-;-
Ногинск;874;21;429,11;-;-;-
Норильск;1005;19;348,07;-;-;-
Ноябрьск;848;15;326,48;6,67;326,48;1
Нукус;2;0;0;-;-;-
Нягань;564;12;411,84;16,67;205,92;2
Область Арагацотн;8;0;0;-;-;-
Область Арарат;1;0;0;-;-;-
Область Армавир;6;0;0;-;-;-
Область Гехаркуник;7;0;0;-;-;-
Область Жетысу (более точно регион не определён);611;1;4,85;-;-;-
Область Котайк;4;0;0;-;-;-
Область Сюник;1;0;0;-;-;-
Обнинск;2272;40;866,35;2,5;866,35;1
Одинцово;2319;59;1119,18;-;-;-
